#{"t_start": 1762118954.1241758, "env_id": "None"}
r,l,t
-4.001172,40,9.952102
22.510789,40,9.959567
23.517507,40,9.967712
23.310789,40,9.975467
23.710789,40,9.98333
-39.307371,40,9.991585
-1.162149,40,9.999525
-26.938391,40,10.006904
-0.717864,40,10.013909
17.117507,40,10.037086
-7.284021,40,10.057601
22.710789,40,10.073227
-0.061181,40,10.088107
3.007193,40,10.096835
23.817507,40,10.104538
12.626198,40,10.112281
-2.388319,40,10.120662
24.310789,40,10.128317
12.626198,40,10.135916
24.517507,40,10.14335
25.310789,40,10.152128
12.326198,40,10.159639
24.017507,40,10.167155
13.824561,40,10.17526
4.678338,40,10.182231
23.710789,40,10.189185
12.626198,40,10.196251
-0.762149,40,10.204347
23.710789,40,10.21131
23.710789,40,10.550971
-5.912357,40,10.559938
12.124561,40,10.567607
23.817507,40,10.57528
2.461288,40,10.582959
4.507193,40,10.590609
13.824561,40,10.598079
12.024561,40,10.605735
8.926198,40,10.612878
2.807193,40,10.619937
0.186253,40,10.627268
12.626198,40,10.63429
13.326198,40,10.641446
12.626198,40,10.648803
11.426198,40,10.655775
0.186253,40,10.662911
-0.304787,40,10.670495
21.710789,40,10.677768
-1.140531,40,10.684932
13.126198,40,10.692113
2.307193,40,10.699224
12.124561,40,10.706322
3.261164,40,10.713424
13.326198,40,10.722765
20.010789,40,10.730136
13.824561,40,10.737566
12.624561,40,10.745156
11.726198,40,10.752512
13.024561,40,10.760016
-33.284617,40,10.767222
4.305364,40,10.776564
22.710789,40,10.784404
-4.481341,40,10.792088
24.517507,40,10.799101
-4.772794,40,10.806565
23.217507,40,10.814003
23.710789,40,10.821707
20.510789,40,10.828947
24.010789,40,10.836419
-3.663864,40,10.843874
24.117507,40,10.851407
23.817507,40,10.858703
19.310789,40,10.866045
23.710789,40,10.873276
13.926198,40,10.880286
25.817507,40,10.887221
1.470765,40,10.894375
-4.355828,40,10.901461
-3.600977,40,10.90845
-2.800781,40,10.915533
3.307193,40,10.922471
-28.22371,40,11.254063
-1.897409,40,11.26132
12.126198,40,11.268238
12.424561,40,11.275173
-5.636067,40,11.282025
23.210789,40,11.288841
-0.912184,40,11.295683
-2.862565,40,11.302535
9.726198,40,11.309351
-20.081629,40,11.316193
13.326198,40,11.323038
22.110789,40,11.329866
23.010789,40,11.336654
22.310789,40,11.343475
3.007193,40,11.350479
12.524561,40,11.357467
-2.206858,40,11.364196
-24.701056,40,11.370905
3.178338,40,11.377604
21.717507,40,11.384284
2.607193,40,11.390971
0.506237,40,11.397677
-2.748692,40,11.404413
